,date,province,PM25,O3,CO,cluster
400,2020-09-15,อุทัยธานี,23.4,79,190,Moderate Air
401,2020-09-15,ตราด,19.473684210526315,59,70,Best Air
402,2020-09-15,ปราจีนบุรี,13.666666666666666,68,100,Best Air
403,2020-09-15,ระยอง,7.808333333333334,61,80,Best Air
404,2020-09-15,กาญจนบุรี,22.0,68,140,Best Air
405,2020-09-15,ตาก,7.416666666666667,60,150,Best Air
406,2020-09-15,ตรัง,4.916666666666667,52,80,Best Air
407,2020-09-15,นครศรีธรรมราช,7.285714285714286,53,100,Best Air
408,2020-09-15,ภูเก็ต,11.5,80,80,Best Air
409,2020-09-15,ระนอง,2.0,41,60,Best Air
410,2020-09-15,สตูล,5.923076923076923,118,150,Moderate Air
411,2020-09-15,สงขลา,22.416666666666668,87,140,Moderate Air
412,2020-09-15,สุราษฎร์ธานี,9.583333333333334,46,80,Best Air
413,2020-09-15,ยะลา,10.833333333333334,93,210,Moderate Air
414,2020-09-15,กรุงเทพฯ,13.365141955835963,54,220,Best Air
415,2020-09-15,ชลบุรี,9.222222222222221,56,100,Best Air
416,2020-09-22,เชียงราย,8.25,48,280,Best Air
417,2020-09-22,เชียงใหม่,10.695652173913043,122,630,Moderate Air
418,2020-09-22,น่าน,6.531914893617022,36,260,Best Air
419,2020-09-22,พะเยา,6.625,53,240,Best Air
420,2020-09-22,แพร่,7.625,40,350,Best Air
